ticker,company_name,exchange
AAPL,Apple Inc.,NASDAQ
ABBV,Abbvie Inc,NYSE
ABT,Abbott Laboratories,NYSE
ACCO,ACCO Brands,NYSE
ACLS,Axcelis Technologies Inc.,NASDAQ
ACN,Accenture plc,NYSE
ADBE,Adobe Systems Inc.,NASDAQ
ADCT,ADC Therapeutics SA,NYSE
ADI,Analog Devices Inc.,NASDAQ
ADM,Archer Daniels Midland Company,NYSE
ADSK,"Autodesk, Inc.",NASDAQ
ADTN,ADTRAN Inc.,NASDAQ
AES,The AES Corporation,NYSE
AGCO,AGCO Corporation,NYSE
AGIO,Agios Pharmaceuticals,NASDAQ
AGN,Allergan plc,NYSE
ALB,Albemarle Corporation,NYSE
ALSN,Allison Transmission,NYSE
ALTR,Altair Engineering Inc.,NASDAQ
AMAT,Applied Materials Inc.,NASDAQ
AMD,"Advanced Micro Devices, Inc.",NASDAQ
AMGN,Amgen Inc.,NASDAQ
AMKR,Amkor Technology Inc.,NASDAQ
AMRS,Amyris,NASDAQ
AMZN,Amazon.com Inc.,NASDAQ
ANDE,"The Andersons, Inc.",NASDAQ
ANET,Arista Networks Inc,NYSE
AOS,AO Smith Corporation,NYSE
APD,Air Products & Chemicals Inc.,NYSE
AQUA,Evoqua Water Technologies,NYSE
ARRY,"Array Technologies, Inc.",NASDAQ
ASPN,Aspen Aerogels ,NYSE
ASTE,Astec Industries Inc.,NASDAQ
AVA,Avista Corp.,NYSE
AVAV,"AeroVironment, Inc.",NASDAQ
AVGO,Broadcom Inc.,NASDAQ
AVY,Avery Dennison Corporation,NYSE
AWK,American Water Works Company Inc.,NYSE
AXL,American Axle & Manufacturing Holdings Inc.,NYSE
AXON,"Axon Enterprise, Inc.",NASDAQ
AYI,"Acuity Brands, Inc.",NYSE
AZPN,"Aspen Technology, Inc.",NASDAQ
AZTA,"Azenta, Inc.",NASDAQ
B,Barnes Group Inc.,NYSE
BA,Boeing Company,NYSE
BAX,Baxter International Inc.,NYSE
BC,Brunswick Corporation,NYSE
BDX,"Becton, Dickinson and Company",NYSE
BE,Bloom Energy,NYSE
BIIB,Biogen Idec,NASDAQ
BKR,Baker Hughes Inc.,NYSE
BMI,Badger Meter Inc.,NYSE
BMY,Bristol Myers Squibb Co.,NYSE
BSX,Boston Scientific Corporation,NYSE
BW,Babcock & Wilcox,NYSE
BWA,BorgWarner,NYSE
BWXT,BWX Technologies Inc,NYSE
CAT,Caterpillar Inc.,NYSE
CBT,Cabot Corporation,NYSE
CDNS,"Cadence Design Systems, Inc.",NASDAQ
CERN,Cerner Corporation,NASDAQ
CGNX,Cognex Corporation,NASDAQ
CHD,Church & Dwight Co. Inc.,NYSE
CIEN,Ciena Corporation,NYSE
CL,Colgate-Palmolive Co.,NYSE
CLNE,Clean Energy Fuels Corp.,NASDAQ
CLX,The Clorox Company,NYSE
CMC,Commercial Metals Co.,NYSE
COP,ConocoPhillips,NYSE
CRM,"Salesforce.com, Inc.",NYSE
CRUS,Cirrus Logic Inc.,NASDAQ
CSCO,Cisco Systems Inc.,NASDAQ
CTS,CTS Corporation,NYSE
CTXS,Citrix Systems Inc.,NASDAQ
CUB,Cubic Corp.,NYSE
CVLT,"CommVault Systems, Inc.",NASDAQ
CWST,Casella Waste Systems Inc.,NASDAQ
D,"Dominion Energy, Inc.",NYSE
D,"Dominion Resources, Inc.",NYSE
DAN,Dana Incorporated,NYSE
DBD,"Diebold Nixdorf, Incorporated",NYSE
DCI,Donaldson Company Inc.,NYSE
DD,DuPont,NYSE
DE,Deere & Co.,NYSE
DGX,Quest Diagnostics Inc.,NYSE
DMRC,Digimarc Corporation,NASDAQ
DOLE,Dole plc,NYSE
DOW,The Dow Chemical Company,NYSE
DTE,DTE Energy Co.,NYSE
DXCM,"DexCom, Inc.",NASDAQ
EBAY,eBay,NASDAQ
EGIO,"Edgio, Inc.",NASDAQ
ELY,Callaway Golf Co.,NYSE
EMN,Eastman Chemical Company,NYSE
ENPH,Enphase Energy Inc,NASDAQ
ENTG,Entegris,NASDAQ
ERII,Energy Recovery,NASDAQ
EXEL,"Exelixis, Inc.",NASDAQ
EXTR,"Extreme Networks, Inc",NASDAQ
F,Ford Motor Company,NYSE
FARO,FARO Technologies Inc.,NASDAQ
FCEL,"FuelCell Energy, Inc.",NASDAQ
FELE,Franklin Electric Co. Inc.,NASDAQ
FFIV,F5 Networks Inc.,NASDAQ
FLIR,FLIR Systems Inc.,NASDAQ
FLOW,"SPX FLOW, Inc.",NYSE
FMC,FMC Corporation,NYSE
FSLR,First Solar Inc.,NASDAQ
FSS,Federal Signal Corp.,NYSE
FTNT,Fortinet Inc.,NASDAQ
GE,General Electric,NYSE
GEVO,"Gevo, Inc.",NASDAQ
GGG,Graco Inc.,NYSE
GILD,Gilead Sciences,NASDAQ
GIS,"General Mills, Inc.",NYSE
GLT,PH Glatfelter Co.,NYSE
GLW,Corning Inc,NYSE
GM,General Motors,NYSE
GNRC,Generac Holdings Inc.,NYSE
GNTX,Gentex Corporation,NASDAQ
GPRO,"GoPro, Inc.",NASDAQ
GRMN,Garmin Ltd.,NASDAQ
GT,Goodyear Tire & Rubber Co.,NYSE
GTI,GrafTech International Ltd.,NYSE
HAL,Halliburton Company,NYSE
HALO,"Halozyme Therapeutics, Inc.",NASDAQ
HELE,Helen of Troy Limited,NASDAQ
HIG,Hartford Financial Services Group Inc.,NYSE
HON,Honeywell International Inc.,NYSE
HRC,"Hill-Rom Holdings, Inc.",NYSE
HUBB,Hubbell Inc.,NYSE
HXL,Hexcel Corp.,NYSE
IBM,International Business Machines Corp.,NYSE
ICE,"InterContinental Exchange, Inc.",NYSE
IDCC,InterDigital Communications,NASDAQ
IDXX,"IDEXX Laboratories, Inc.",NASDAQ
ILMN,Illumina Inc.,NASDAQ
INFN,Infinera Corp.,NASDAQ
INGN,Inogen Inc,NASDAQ
INSM,Insmed Incorporated,NASDAQ
